t,Entrada,Converte_5,Media_Atual_5,Converte_6,Media_Atual_6,Converte_7,Media_Atual_7,Converte_8,Media_Atual_8,Converte_9,Media_Atual_9,Converte_A,Media_Atual_A,Converte_B,Media_Atual_B,Converte_C,Media_Atual_C,Media_2,Media,,,,RATING1,RATING2,RATING3,,,
0,"8,35",0,,0,,0,,0,,0,,0,,0,,0,,1,,,,,,,,,,
1,"3,32",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,,,,,,,,,,
2,"1,5",1,1,1,1,1,1,0,"0,5",0,"0,5",0,0,0,0,0,0,1,,,,,,,,,,
3,2,0,"0,6666666667",0,"0,6666666667",0,"0,6666666667",0,"0,3333333333",0,"0,3333333333",0,0,0,0,0,0,0,,,,,,,,,,
4,"3,17",1,"0,75",0,"0,5",0,"0,5",0,"0,25",0,"0,25",0,0,0,0,0,0,1,,,,,,,,,,
5,"1,63",1,"0,8",1,"0,6",1,"0,6",0,"0,2",0,"0,2",0,0,0,0,0,0,1,,,,,,,,,,
6,"1,64",0,"0,6666666667",0,"0,5",0,"0,5",0,"0,1666666667",0,"0,1666666667",0,0,0,0,0,0,0,,,,,,,,,,
7,"1,84",0,"0,5714285714",0,"0,4285714286",0,"0,4285714286",0,"0,1428571429",0,"0,1428571429",0,0,0,0,0,0,0,,,,,,,,,,
8,"1,33",1,"0,625",0,"0,375",0,"0,375",0,"0,125",0,"0,125",0,0,0,0,0,0,0,,,,,,,,,,
9,"5,44",0,"0,5555555556",0,"0,3333333333",0,"0,3333333333",0,"0,1111111111",0,"0,1111111111",0,0,0,0,0,0,0,,,,,,,,,,
10,"1,08",1,"0,6",1,"0,4",1,"0,4",1,"0,2",0,"0,1",0,0,0,0,0,0,1,,,,,,,,,,
11,"3,73",0,"0,5454545455",0,"0,3636363636",0,"0,3636363636",0,"0,1818181818",0,"0,09090909091",0,0,0,0,0,0,0,,,,,,,,,,
12,"2,53",1,"0,5833333333",1,"0,4166666667",1,"0,4166666667",1,"0,25",0,"0,08333333333",0,0,0,0,0,0,1,,,,,,,,,,
13,"1,26",1,"0,6153846154",1,"0,4615384615",0,"0,3846153846",0,"0,2307692308",0,"0,07692307692",0,0,0,0,0,0,1,,,,,,,,,,
14,"4,94",0,"0,5714285714",0,"0,4285714286",0,"0,3571428571",0,"0,2142857143",0,"0,07142857143",0,0,0,0,0,0,0,,,,,,,,,,
15,"17,63",1,"0,6",1,"0,4666666667",1,"0,4",1,"0,2666666667",0,"0,06666666667",0,0,0,0,0,0,1,,,,,,,,,,
16,"1,58",1,"0,625",1,"0,5",1,"0,4375",1,"0,3125",1,"0,125",1,"0,0625",0,0,0,0,1,,,,,,,,,,
17,"2,91",0,"0,5882352941",0,"0,4705882353",0,"0,4117647059",0,"0,2941176471",0,"0,1176470588",0,"0,05882352941",0,0,0,0,0,,,,,,,,,,
18,"7,38",1,"0,6111111111",1,"0,5",1,"0,4444444444",0,"0,2777777778",0,"0,1111111111",0,"0,05555555556",0,0,0,0,1,,,,,,,,,,
19,"1,9",1,"0,6315789474",1,"0,5263157895",1,"0,4736842105",1,"0,3157894737",1,"0,1578947368",0,"0,05263157895",0,0,0,0,1,,,,,,,,,,
20,"1,01",1,"0,65",0,"0,5",0,"0,45",0,"0,3",0,"0,15",0,"0,05",0,0,0,0,0,,,,,,,,,,
21,"2,9",0,"0,619047619",0,"0,4761904762",0,"0,4285714286",0,"0,2857142857",0,"0,1428571429",0,"0,04761904762",0,0,0,0,0,,,,,,,,,,
22,"1,38",1,"0,6363636364",1,"0,5",1,"0,4545454545",0,"0,2727272727",0,"0,1363636364",0,"0,04545454545",0,0,0,0,1,,,,,,,,,,
23,"4,93",0,"0,6086956522",0,"0,4782608696",0,"0,4347826087",0,"0,2608695652",0,"0,1304347826",0,"0,04347826087",0,0,0,0,0,,,,,,,,,,
24,"1,39",1,"0,625",1,"0,5",1,"0,4583333333",1,"0,2916666667",0,"0,125",0,"0,04166666667",0,0,0,0,1,,,,,,,,,,
25,"5,34",0,"0,6",0,"0,48",0,"0,44",0,"0,28",0,"0,12",0,"0,04",0,0,0,0,0,,,,,,,,,,
26,"3,96",1,"0,6153846154",1,"0,5",1,"0,4615384615",1,"0,3076923077",0,"0,1153846154",0,"0,03846153846",0,0,0,0,1,,,,,,,,,,
27,"2,54",1,"0,6296296296",1,"0,5185185185",1,"0,4814814815",1,"0,3333333333",0,"0,1111111111",0,"0,03703703704",0,0,0,0,1,,,,,,,,,,
28,"2,92",1,"0,6428571429",1,"0,5357142857",0,"0,4642857143",0,"0,3214285714",0,"0,1071428571",0,"0,03571428571",0,0,0,0,1,,,,,,,,,,
29,"1,73",1,"0,6551724138",1,"0,5517241379",1,"0,4827586207",0,"0,3103448276",0,"0,1034482759",0,"0,03448275862",0,0,0,0,1,,,,,,,,,,
30,"1,8",0,"0,6333333333",0,"0,5333333333",0,"0,4666666667",0,"0,3",0,"0,1",0,"0,03333333333",0,0,0,0,0,,,,,,,,,,
31,"5,15",1,"0,6451612903",0,"0,5161290323",0,"0,4516129032",0,"0,2903225806",0,"0,09677419355",0,"0,03225806452",0,0,0,0,0,,,,,,,,,,
32,"1,87",1,"0,65625",1,"0,53125",1,"0,46875",1,"0,3125",0,"0,09375",0,"0,03125",0,0,0,0,1,,,,,,,,,,
33,"1,76",1,"0,6666666667",0,"0,5151515152",0,"0,4545454545",0,"0,303030303",0,"0,09090909091",0,"0,0303030303",0,0,0,0,0,,,,,,,,,,
34,"1,26",1,"0,6764705882",0,"0,5",0,"0,4411764706",0,"0,2941176471",0,"0,08823529412",0,"0,02941176471",0,0,0,0,0,,,,,,,,,,
35,"1,09",0,"0,6571428571",0,"0,4857142857",0,"0,4285714286",0,"0,2857142857",0,"0,08571428571",0,"0,02857142857",0,0,0,0,0,,,,,,,,,,
36,"4,74",0,"0,6388888889",0,"0,4722222222",0,"0,4166666667",0,"0,2777777778",0,"0,08333333333",0,"0,02777777778",0,0,0,0,0,,,,,,,,,,
37,"2,11",1,"0,6486486486",1,"0,4864864865",1,"0,4324324324",1,"0,2972972973",0,"0,08108108108",0,"0,02702702703",0,0,0,0,1,,,,,,,,,,
